ID,Trajectory,Speed Change,Direction Change
57.0,1.0,-0.44999999999999996,-3.17
57.0,1.0,-0.14,0.0
57.0,1.0,0.0,0.0
57.0,1.0,0.16,-0.3900000000000001
57.0,1.0,2.17,3.1500000000000004
57.0,1.0,-2.08,-3.69
57.0,1.0,0.30000000000000004,3.12
57.0,1.0,-0.38,2.0199999999999996
57.0,1.0,0.12999999999999998,-2.71
57.0,1.0,0.10000000000000003,-1.33
57.0,1.0,0.39,2.7
57.0,1.0,-0.6900000000000001,-4.38
57.0,1.0,0.17,0.43000000000000016
57.0,1.0,0.44999999999999996,3.28
57.0,1.0,-0.62,-2.54
57.0,1.0,0.09,-0.3599999999999999
57.0,1.0,1.11,5.12
57.0,1.0,-0.52,-3.5900000000000003
57.0,1.0,-0.36000000000000004,0.69
57.0,1.0,-0.42,0.0
57.0,1.0,0.0,0.0
57.0,1.0,0.2,0.7000000000000001
57.0,1.0,0.26,-1.29
57.0,1.0,-0.46,0.0
57.0,1.0,0.26,-2.49
57.0,1.0,0.08000000000000002,2.87
57.0,1.0,-0.30000000000000004,2.15
57.0,1.0,0.04,1.1100000000000003
57.0,1.0,-0.08,0.0
57.0,1.0,0.35,-6.050000000000001
57.0,1.0,-0.04999999999999999,2.17
57.0,1.0,0.2,2.0300000000000002
57.0,1.0,-0.36,0.28
57.0,1.0,0.09,-1.84
57.0,1.0,1.02,1.12
57.0,1.0,-0.020000000000000018,0.29999999999999993
57.0,2.0,-1.8599999999999999,-2.04
57.0,2.0,0.0,0.29
57.0,2.0,-0.98,-2.03
57.0,2.0,0.26,-0.6800000000000002
57.0,2.0,-1.1,-2.96
57.0,2.0,0.6,1.9300000000000002
57.0,2.0,-0.58,-2.3899999999999997
57.0,2.0,0.0,2.4899999999999998
57.0,2.0,0.019999999999999997,2.36
57.0,2.0,0.020000000000000004,-5.18
57.0,2.0,0.45,5.27
57.0,2.0,-0.26,-2.6100000000000003
57.0,2.0,0.26,0.76
57.0,2.0,-0.32000000000000006,0.8
57.0,2.0,0.49,-2.21
57.0,2.0,-0.29999999999999993,2.5
57.0,2.0,-0.36000000000000004,-2.61
57.0,2.0,-0.04,0.0
57.0,2.0,0.17,1.41
