Start Time(s),X(°),Y(°)
0,118.779357166667,32.0441735
1,118.779357166667,32.0441735
2,118.7793565,32.0441755
3,118.779356166667,32.0441778333333
4,118.779360666667,32.0441805
5,118.779366,32.044178
6,118.7793675,32.0441783333333
7,118.779375666667,32.044171
8,118.779382,32.044165
9,118.779386166667,32.0441633333333
10,118.779388,32.0441615
11,118.779387833333,32.04416
12,118.779395333333,32.0441595
13,118.779395666667,32.0441588333333
14,118.779395333333,32.0441575
15,118.779392666667,32.0441571666667
16,118.779389,32.0441566666667
17,118.779390833333,32.0441548333333
18,118.7794025,32.0441515
19,118.779413333333,32.0441485
20,118.779416833333,32.0441473333333
21,118.779424666667,32.0441466666667
22,118.779433166667,32.0441471666667
23,118.779441666667,32.044146
24,118.779441666667,32.044146
25,118.779441666667,32.044146
26,118.779441666667,32.044146
27,118.779441666667,32.044146
28,118.779441666667,32.044146
29,118.779441666667,32.044146
30,118.779441666667,32.044146
31,118.779441666667,32.044146
32,118.779441666667,32.044146
33,118.779441666667,32.044146
34,118.779441666667,32.044146
35,118.779441666667,32.044146
36,118.7794405,32.0441465
37,118.7794405,32.0441465
38,118.7794405,32.0441465
39,118.7794405,32.0441465
40,118.779439,32.0441426666667
41,118.779441666667,32.0441438333333
42,118.779441666667,32.0441438333333
43,118.779441,32.0441451666667
44,118.779441,32.0441451666667
45,118.779441666667,32.0441471666667
46,118.779441666667,32.0441471666667
47,118.779441666667,32.0441471666667
48,118.779395166667,32.0442063333333
49,118.779395166667,32.0442063333333
50,118.779399,32.044207
51,118.779401166667,32.044211
52,118.779403,32.0442143333333
53,118.779404333333,32.0442188333333
54,118.779403666667,32.0442231666667
55,118.779400833333,32.0442248333333
56,118.7793995,32.044225
57,118.7793995,32.044225
58,118.779396166667,32.0442238333333
59,118.779392,32.0442238333333
60,118.779392,32.0442238333333
61,118.779392,32.0442238333333
62,118.779392,32.0442238333333
63,118.779392,32.0442238333333
64,118.779390666667,32.0442223333333
65,118.779390666667,32.0442223333333
66,118.779390666667,32.0442223333333
67,118.779390666667,32.0442223333333
68,118.779390666667,32.0442223333333
69,118.779387333333,32.0442188333333
70,118.779387333333,32.0442188333333
71,118.779387333333,32.0442188333333
72,118.779387333333,32.0442188333333
73,118.779387333333,32.0442188333333
74,118.779387333333,32.0442188333333
75,118.779387333333,32.0442188333333
76,118.779387333333,32.0442188333333
77,118.779387333333,32.0442188333333
78,118.779387333333,32.0442188333333
79,118.779387333333,32.0442188333333
80,118.779387333333,32.0442188333333
81,118.779387333333,32.0442188333333
82,118.779387333333,32.0442188333333
83,118.779387333333,32.0442188333333
84,118.779387333333,32.0442188333333
85,118.779387333333,32.0442188333333
86,118.779387333333,32.0442188333333
87,118.779387333333,32.0442188333333
88,118.779387333333,32.0442188333333
89,118.779387333333,32.0442188333333
90,118.779387333333,32.0442188333333
91,118.779387333333,32.0442188333333
92,118.779387333333,32.0442188333333
93,118.779387333333,32.0442188333333
94,118.779387333333,32.0442188333333
95,118.779393666667,32.044214
96,118.779393666667,32.044214
97,118.779393666667,32.044214
98,118.779393666667,32.044214
99,118.779393666667,32.044214
100,118.779393666667,32.044214
101,118.779393666667,32.044214
102,118.779393666667,32.044214
103,118.779393666667,32.044214
104,118.779393666667,32.044214
105,118.779393666667,32.044214
106,118.779393666667,32.044214
107,118.779393666667,32.044214
108,118.779393666667,32.044214
109,118.779393666667,32.044214
110,118.779393666667,32.044214
111,118.779393666667,32.044214
112,118.779393666667,32.044214
113,118.779393666667,32.044214
114,118.779393666667,32.044214
115,118.779393666667,32.044214
116,118.779393666667,32.044214
117,118.779393666667,32.044214
118,118.779393666667,32.044214
119,118.779393666667,32.044214
120,118.779393666667,32.044214
121,118.779393666667,32.044214
122,118.779393666667,32.044214
123,118.779393666667,32.044214
124,118.779393666667,32.044214
125,118.779393666667,32.044214
126,118.779393666667,32.044214
127,118.779393666667,32.044214
128,118.779393666667,32.044214
129,118.779393666667,32.044214
130,118.779393666667,32.044214
131,118.779393666667,32.044214
132,118.779393666667,32.044214
133,118.779393666667,32.044214
134,118.779393666667,32.044214
135,118.779393666667,32.044214
136,118.779393666667,32.044214
137,118.779393666667,32.044214
138,118.779393666667,32.044214
139,118.779393666667,32.044214
140,118.779393666667,32.044214
141,118.779393666667,32.044214
142,118.779393666667,32.044214
143,118.779393666667,32.044214
144,118.779393666667,32.044214
145,118.779393666667,32.044214
146,118.779393666667,32.044214
147,118.779393666667,32.044214
148,118.779393666667,32.044214
149,118.779393666667,32.044214
150,118.779393666667,32.044214
151,118.779393666667,32.044214
152,118.779393666667,32.044214
153,118.779393666667,32.044214
154,118.779393666667,32.044214
155,118.779393666667,32.044214
156,118.779393666667,32.044214
157,118.779393666667,32.044214
158,118.779393666667,32.044214
159,118.779393666667,32.044214
160,118.779393666667,32.044214
161,118.779393666667,32.044214
162,118.779393666667,32.044214
163,118.779393666667,32.044214
164,118.779393666667,32.044214
165,118.779393666667,32.044214
166,118.779393666667,32.044214
167,118.779393666667,32.044214
168,118.779393666667,32.044214
169,118.779393666667,32.044214
170,118.779393666667,32.044214
