991	1881	-455.8550	0	52601.3698	2
992	1881	-455.8554	0	52601.3645	2
993	1881	-455.8554	0	52601.3593	2
995	1881	-455.8553	0	52601.3542	2
996	1881	-455.8554	0	52601.3539	2
997	1881	-455.8552	0	52601.3567	2
998	1881	-455.8555	0	52601.3578	2
999	1881	-455.8552	0	52601.3567	2
1000	1881	-455.8552	0	52601.3577	2
1001	1881	-455.8549	0	52601.3581	2
1002	1881	-455.8551	0	52601.3611	2
1003	1881	-455.8548	0	52601.3622	2
1020	1881	-455.8533	0	52601.3559	2
1021	1881	-455.8529	0	52601.3492	2
1022	1881	-455.8528	0	52601.3458	2
