Time,ID,Positionx,Positionz,Positiony,Yaw,Up,Right,Down,Left,Trajectory,Distance,Speed
0.0,57.0,-0.35,0.0,-3.28,40.22992,1.0,0.0,0.0,0.0,1.0,3.2986209239620123,
0.507,57.0,-0.35,0.0,-3.28,36.249,1.0,0.0,0.0,0.0,1.0,3.2986209239620123,0.0
1.014,57.0,-0.35,0.0,-3.28,27.11901,1.0,0.0,0.0,0.0,1.0,3.2986209239620123,0.0
1.521,57.0,-0.3302339181286519,0.0,-3.309649122807022,26.84186,1.0,0.0,0.0,0.0,1.0,3.326083546271785,0.07028365059385124
2.028,57.0,-0.33,0.0,-3.31,26.60607,1.0,0.0,0.0,0.0,1.0,3.3264094756959794,0.0008317591786144234
2.535,57.0,-0.33,0.0,-3.31,31.75341,1.0,0.0,0.0,0.0,1.0,3.3264094756959794,0.0
3.0420000000000003,57.0,-0.33,0.0,-3.31,34.25378,1.0,0.0,0.0,0.0,1.0,3.3264094756959794,0.0
3.5490000000000004,57.0,-0.33,0.0,-3.31,27.38258,1.0,0.0,0.0,0.0,1.0,3.3264094756959794,0.0
4.056,57.0,-0.33,0.0,-3.31,30.41049,1.0,0.0,0.0,0.0,1.0,3.3264094756959794,0.0
4.563,57.0,-0.4514371257484536,0.0,-3.0772455089821307,33.3246,1.0,0.0,0.0,0.0,1.0,3.110182535005738,0.5178092523380271
5.069999999999999,57.0,-0.43023391812865186,0.0,-3.109649122807022,37.8169,0.0,1.0,0.0,0.0,1.0,3.1392704393350397,0.07637925917131816
5.576999999999999,57.0,-0.43,0.0,-3.139707031249964,43.60101,0.0,1.0,0.0,0.0,1.0,3.1690156582258258,0.05928761071740706
6.083999999999999,57.0,-0.43,0.0,-3.14,43.1233,0.0,1.0,0.0,0.0,1.0,3.1693059177050107,0.0005778476332073945
6.590999999999998,57.0,-0.43,0.0,-3.14,43.40879,0.0,0.0,0.0,1.0,1.0,3.1693059177050107,0.0
7.097999999999998,57.0,-0.4795117187500274,0.0,-2.842929687499835,40.26023,0.0,1.0,0.0,0.0,1.0,2.8830852738839545,0.5940197783497658
7.604999999999998,57.0,-0.4700976562499945,0.0,-2.9192187500000437,27.76653,1.0,0.0,0.0,0.0,1.0,2.956827677894597,0.1516128503628357
8.111999999999998,57.0,-0.47,0.0,-2.92,25.21001,1.0,0.0,0.0,0.0,1.0,2.95758347304011,0.0015529188524421133
8.618999999999998,57.0,-0.47,0.0,-2.92,25.80378,1.0,0.0,0.0,0.0,1.0,2.95758347304011,0.0
9.125999999999998,57.0,-0.49028,0.0,-3.00112,32.21006,1.0,0.0,0.0,0.0,1.0,3.040903769079186,0.16492422502470627
9.632999999999997,57.0,-0.20283203125035093,0.0,-1.8513281250014038,34.55458,1.0,0.0,0.0,0.0,1.0,1.8624061477890252,2.337629856063211
10.139999999999997,57.0,-0.3014,0.0,-1.9616799999999999,34.98374,1.0,0.0,0.0,1.0,1.0,1.9846990659543324,0.2918411125513162
10.646999999999997,57.0,-0.09720000000000001,0.0,-1.76734,39.81052,1.0,0.0,0.0,0.0,1.0,1.7700108800795546,0.5560090117854407
11.153999999999996,57.0,-0.18095808383244938,0.0,-1.7396407185628315,37.15925,0.0,1.0,0.0,0.0,1.0,1.7490270603355789,0.17400280899740406
11.660999999999996,57.0,-0.023397683397692187,0.0,-1.7302123552123558,43.67546,0.0,0.0,0.0,1.0,1.0,1.7303705515634118,0.31132592398511905
12.167999999999996,57.0,0.029999999999949057,0.0,-1.9199999999998063,41.14066,0.0,0.0,0.0,1.0,1.0,1.9202343606964367,0.3888687223141809
12.674999999999995,57.0,0.07951171875002744,0.0,-1.5239062499997806,42.73645,1.0,0.0,1.0,0.0,1.0,1.52597915195686,0.7873298582323501
13.181999999999995,57.0,0.030584795321629714,0.0,-1.5397660818713481,41.26402,1.0,1.0,0.0,0.0,1.0,1.5400698089977314,0.10144623132780638
13.688999999999995,57.0,-0.08154,0.0,-1.6211200000000001,46.08685,1.0,0.0,0.0,0.0,1.0,1.6231693768673683,0.27323378013931165
14.195999999999994,57.0,0.18736328124967327,0.0,-1.3625390625003146,50.60481,1.0,0.0,1.0,1.0,1.0,1.3753609329917293,0.7358167224931688
14.702999999999994,57.0,0.17019531249998904,0.0,-1.4194140625000329,50.19476,1.0,1.0,1.0,1.0,1.0,1.4295813111606546,0.11717876800745032
15.209999999999994,57.0,0.11929999999999999,0.0,-1.50112,52.82929,0.0,1.0,0.0,1.0,1.0,1.5058531616329662,0.18986403785688483
15.716999999999993,57.0,-0.5276646706584193,0.0,-1.3988023952096218,52.31429,1.0,1.0,0.0,0.0,1.0,1.4950177743108048,1.2919240214104515
16.223999999999993,57.0,-0.1938596491227561,0.0,-1.6273099415205032,56.05688,1.0,1.0,1.0,0.0,1.0,1.6388164050098661,0.7978821601024723
16.730999999999995,57.0,0.008046875000109754,0.0,-1.6002929687499836,56.37208,1.0,0.0,0.0,0.0,1.0,1.600313199979274,0.4017871123091861
17.237999999999996,57.0,0.01,0.0,-1.6,50.49318,1.0,0.0,0.0,0.0,1.0,1.6000312496948303,0.0038954150515864137
17.744999999999997,57.0,0.01,0.0,-1.6,55.64041,1.0,0.0,0.0,0.0,1.0,1.6000312496948303,0.0
18.252,57.0,0.08083832335339321,0.0,-1.5291616766466067,54.16234,0.0,1.0,0.0,0.0,1.0,1.531296923476061,0.1975947093138841
18.759,57.0,0.27843444226989483,0.0,-1.639138943248442,47.30215,0.0,1.0,1.0,0.0,1.0,1.6626190826270961,0.4460351792864354
