Time,ID,Positionx,Positionz,Positiony,Yaw,Up,Right,Down,Left,Trajectory,Distance,Speed,Direction
0.0,41.0,0.34,0.0,-1.7,1.5698482196138503,1.0,0.0,0.0,0.0,1.0,1.73,,
0.5,41.0,0.32,0.0,-1.46,1.440157158192767,0.0,0.0,1.0,0.0,1.0,1.49,0.48,1.65
1.0,41.0,0.32,0.0,-1.45,1.437732093010291,0.0,1.0,0.0,0.0,1.0,1.48,0.02,1.57
1.5,41.0,0.32,0.0,-1.45,1.4231211389903906,0.0,1.0,0.0,0.0,1.0,1.48,0.0,0.0
2.0,41.0,0.34,0.0,-1.42,1.4214603709406555,0.0,0.0,1.0,0.0,1.0,1.46,0.07,0.98
2.5,41.0,0.34,0.0,-1.42,1.4237506268917073,0.0,0.0,1.0,0.0,1.0,1.46,0.0,0.0
3.0,41.0,0.34,0.0,-1.42,-4.583957182047435,1.0,0.0,0.0,0.0,1.0,1.46,0.0,0.0
3.5,41.0,0.38,0.0,-1.43,-4.51058004963509,1.0,1.0,1.0,0.0,1.0,1.48,0.08,-0.24
4.0,41.0,0.46,0.0,-1.53,-4.236619207608044,1.0,1.0,1.0,1.0,1.0,1.6,0.26,-0.9
4.5,41.0,0.44,0.0,-1.42,-4.227297404073142,1.0,0.0,1.0,1.0,1.0,1.49,0.22,1.75
5.0,41.0,0.44,0.0,-1.4,-4.338057743733954,1.0,0.0,1.0,1.0,1.0,1.47,0.04,1.57
5.5,41.0,0.33,0.0,-1.18,-4.332486652761588,1.0,0.0,1.0,1.0,1.0,1.23,0.49,2.03
6.0,41.0,0.3,0.0,-1.13,-4.383909288513097,1.0,0.0,1.0,1.0,1.0,1.17,0.12,2.11
6.5,41.0,0.33,0.0,-1.19,-4.376914008871104,1.0,0.0,1.0,1.0,1.0,1.23,0.13,-1.11
7.0,41.0,0.24,0.0,-1.11,-4.417046109691461,1.0,0.0,0.0,1.0,1.0,1.14,0.24,2.41
7.5,41.0,0.25,0.0,-1.13,-4.420280204795406,0.0,1.0,0.0,1.0,1.0,1.16,0.04,-1.11
8.0,41.0,0.25,0.0,-1.13,-4.4870303220379295,0.0,1.0,0.0,1.0,1.0,1.16,0.0,0.0
8.5,41.0,0.26,0.0,-1.18,-4.385881510567851,0.0,0.0,1.0,1.0,1.0,1.21,0.1,-1.37
9.0,41.0,0.25,0.0,-1.05,-4.415377574926555,1.0,1.0,1.0,0.0,1.0,1.08,0.26,1.65
9.5,41.0,0.22,0.0,-1.01,-4.4041952504090265,1.0,1.0,1.0,1.0,1.0,1.03,0.1,2.21
10.0,41.0,0.17,0.0,-0.93,-4.416506802952594,1.0,1.0,0.0,0.0,1.0,0.95,0.19,2.13
10.5,41.0,0.2,0.0,-0.95,-4.5414043095545615,1.0,1.0,0.0,0.0,1.0,0.97,0.07,-0.59
11.0,41.0,0.2,0.0,-0.95,-4.507916677196547,1.0,1.0,0.0,1.0,1.0,0.97,0.0,0.0
11.5,41.0,0.09,0.0,-0.7,-4.22355890881537,1.0,0.0,1.0,1.0,1.0,0.71,0.55,1.99
12.0,,,,,,,,,,,,,
12.5,,,,,,,,,,,,,
13.0,,,,,,,,,,,,,
13.5,,,,,,,,,,,,,
14.0,,,,,,,,,,,,,
14.5,,,,,,,,,,,,,
15.0,41.0,4.91,0.0,-8.71,-4.461466484483969,0.0,0.0,0.0,0.0,2.0,10.0,,
15.5,41.0,4.55,0.0,-7.78,-3.9353771240430744,0.0,0.0,0.0,0.0,2.0,9.01,1.99,1.94
16.0,41.0,3.13,0.0,-7.38,-3.940052861109167,0.0,0.0,0.0,0.0,2.0,8.02,2.95,2.87
16.5,41.0,2.26,0.0,-6.83,-4.113988883704418,0.0,0.0,0.0,0.0,2.0,7.19,2.06,2.58
17.0,41.0,1.98,0.0,-6.42,-4.1965324853482375,0.0,0.0,0.0,0.0,2.0,6.72,0.99,2.17
17.5,41.0,1.53,0.0,-5.84,-4.2259779351586335,0.0,0.0,0.0,0.0,2.0,6.04,1.47,2.23
18.0,41.0,1.17,0.0,-5.23,-4.286238918242242,0.0,0.0,0.0,0.0,2.0,5.36,1.42,2.1
18.5,41.0,0.76,0.0,-4.44,-4.323890906195516,0.0,0.0,0.0,0.0,2.0,4.5,1.78,2.05
19.0,41.0,0.68,0.0,-3.39,-4.369618532597768,0.0,0.0,0.0,0.0,2.0,3.46,2.11,1.65
19.5,41.0,0.26,0.0,-2.68,-4.327484539125372,1.0,0.0,0.0,0.0,2.0,2.69,1.65,2.1
20.0,41.0,0.27,0.0,-2.65,-4.349023647424234,1.0,0.0,0.0,1.0,2.0,2.66,0.06,1.25
20.5,41.0,0.38,0.0,-2.71,-4.372449456644502,1.0,0.0,0.0,1.0,2.0,2.74,0.25,-0.5
21.0,41.0,0.32,0.0,-2.38,-4.434750729623691,1.0,0.0,0.0,1.0,2.0,2.4,0.67,1.75
21.5,41.0,0.32,0.0,-2.34,-4.41358861244326,0.0,1.0,0.0,1.0,2.0,2.36,0.08,1.57
22.0,41.0,0.33,0.0,-2.31,-4.291665146886692,1.0,1.0,0.0,1.0,2.0,2.33,0.06,1.25
22.5,41.0,0.2,0.0,-2.1,-4.203332288114007,0.0,0.0,0.0,1.0,2.0,2.11,0.49,2.13
23.0,41.0,0.19,0.0,-2.09,-4.412747363743799,0.0,1.0,0.0,1.0,2.0,2.1,0.03,2.36
23.5,41.0,0.18,0.0,-2.06,-4.530684497288812,0.0,0.0,0.0,1.0,2.0,2.07,0.06,1.89
24.0,41.0,0.16,0.0,-2.03,-4.451320885542126,0.0,0.0,0.0,1.0,2.0,2.04,0.07,2.16
24.5,41.0,0.15,0.0,-2.03,-4.503487031554984,0.0,1.0,0.0,1.0,2.0,2.04,0.02,3.14
25.0,41.0,0.18,0.0,-2.09,-4.587367555405832,0.0,1.0,0.0,1.0,2.0,2.1,0.13,-1.11
25.5,41.0,0.17,0.0,-1.98,-4.5511676813902175,0.0,1.0,0.0,1.0,2.0,1.99,0.22,1.66
26.0,41.0,0.17,0.0,-1.98,-4.549652735599487,1.0,0.0,0.0,1.0,2.0,1.99,0.0,0.0
26.5,41.0,0.2,0.0,-1.85,-4.538056768049237,0.0,0.0,0.0,1.0,2.0,1.86,0.27,1.34
27.0,41.0,0.23,0.0,-1.84,-4.546818320894248,0.0,0.0,0.0,1.0,2.0,1.85,0.06,0.32
27.5,41.0,0.21,0.0,-1.8,-4.459780496426542,0.0,0.0,0.0,1.0,2.0,1.81,0.09,2.03
28.0,41.0,0.22,0.0,-1.79,-4.416403828526727,0.0,0.0,0.0,1.0,2.0,1.8,0.03,0.79
28.5,41.0,0.24,0.0,-1.76,-4.359342033962025,0.0,0.0,0.0,1.0,2.0,1.78,0.07,0.98
29.0,41.0,0.24,0.0,-1.76,-4.284411558515404,0.0,0.0,0.0,1.0,2.0,1.78,0.0,0.0
29.5,41.0,0.24,0.0,-1.76,-4.168048711955691,0.0,0.0,0.0,1.0,2.0,1.78,0.0,0.0
30.0,41.0,0.3,0.0,-1.74,-4.337113520608624,0.0,0.0,0.0,1.0,2.0,1.77,0.13,0.32
