Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°)
26.0,58.46039829100482,34.32717026118189,26.0,60.20776047301479,33.37638435792178,26.0,51.77281562052667,34.143004381563514,26,42.391680769389495,47.425383895169944,26.0,62.83587462361902,43.93642888450995,26.0,50.922130121383816,33.22332451073453
27.0,58.46039829100482,34.32717026118189,27.0,60.54974011948798,33.6407809657976,27.0,51.81942154245917,34.18073822045699,27,42.391680769389495,47.425383895169944,27.0,62.89882792229764,43.93746662558988,27.0,50.93116786016617,33.63009541062638
28.0,58.46039829100482,34.32717026118189,28.0,60.831507589900866,33.737839713227004,28.0,51.81942154245917,34.18073822045699,28,42.391680769389495,47.425383895169944,28.0,63.10312178824097,43.9593170885928,28.0,51.3684915646445,33.84061481291428
29.0,58.46039829100482,34.32717026118189,29.0,60.455005392897874,33.65770217683166,29.0,51.64904081611894,34.01158447563648,29,42.391680769389495,47.425383895169944,29.0,63.66787448117975,44.07952356617898,29.0,51.537044867291115,34.120635320432484
30.0,58.46039829100482,34.32717026118189,30.0,60.16745075338986,33.91172154759988,30.0,51.43144501885399,33.84165248181671,30,42.391680769389495,47.425383895169944,30.0,64.24806093762163,44.21846731286496,30.0,51.721031971275806,34.41939304815605
31.0,58.56305220560171,33.829826366622,31.0,59.940717379329726,34.296123215928674,31.0,51.21323997818399,33.70867607789114,31,42.391680769389495,47.425383895169944,31.0,64.76498939306475,44.374851127620786,31.0,51.919234588509426,34.81079916562885
32.0,58.56305220560171,33.829826366622,32.0,59.50065266515594,34.25190359214321,32.0,50.99473045486957,33.594177479390055,32,42.391680769389495,47.425383895169944,32.0,64.76498939306475,44.374851127620786,32.0,52.5672482366208,34.655135170556605
33.0,58.56305220560171,33.829826366622,33.0,59.40987756825052,34.02861347561702,33.0,50.88547564460896,33.53692818013951,33,42.391680769389495,47.425383895169944,33.0,64.71086930925958,43.837957309093326,33.0,53.48555517476052,34.33758120518178
34.0,58.56305220560171,33.829826366622,34.0,59.47496303077787,33.900306624826044,34.0,50.82313142565545,33.498934930656105,34,42.391680769389495,47.425383895169944,34.0,64.85708333179355,43.56312532257289,34.0,53.48555517476052,34.33758120518178
35.0,58.56305220560171,33.829826366622,35.0,59.90081240190193,33.85187784442678,35.0,50.985692624468356,33.18740658927709,35,42.391680769389495,47.425383895169944,35.0,64.85708333179355,43.56312532257289,35.0,53.78092903760262,34.5642437315546
