Time,ID,Positionx,Positionz,Positiony,Yaw,Up,Right,Down,Left,Trajectory,Distance,Speed,Direction
0.0,256.0,-0.73,0.0,-0.94,-3.5118956703269255,1.0,0.0,0.0,0.0,1.0,1.19,,
0.5,256.0,-0.72,0.0,-0.94,-3.5311274533546513,1.0,0.0,0.0,0.0,1.0,1.18,0.02,0.0
1.0,256.0,-0.67,0.0,-0.93,-3.561010980807298,1.0,0.0,0.0,1.0,1.0,1.15,0.1,0.2
1.5,256.0,-0.69,0.0,-0.93,-3.5790995731749677,1.0,0.0,0.0,1.0,1.0,1.16,0.04,3.14
2.0,256.0,-0.72,0.0,-0.95,-3.587183938270206,1.0,0.0,0.0,0.0,1.0,1.19,0.07,-2.55
2.5,256.0,-0.72,0.0,-0.94,-3.6109692853163846,1.0,0.0,0.0,1.0,1.0,1.18,0.02,1.57
3.0,256.0,-0.71,0.0,-0.94,-3.630490792999941,1.0,0.0,0.0,1.0,1.0,1.18,0.02,0.0
3.5,256.0,-0.72,0.0,-0.95,-3.6397131127674793,1.0,0.0,0.0,1.0,1.0,1.19,0.03,-2.36
4.0,256.0,-0.73,0.0,-0.95,-3.6444063031260914,1.0,0.0,0.0,1.0,1.0,1.2,0.02,3.14
4.5,256.0,-0.72,0.0,-0.94,-3.643921101594037,1.0,0.0,0.0,1.0,1.0,1.18,0.03,0.79
5.0,256.0,-0.73,0.0,-0.95,-3.6420344006726313,1.0,0.0,0.0,1.0,1.0,1.2,0.03,-2.36
5.5,256.0,-0.74,0.0,-0.95,-3.6481186184450833,1.0,0.0,0.0,1.0,1.0,1.2,0.02,3.14
6.0,256.0,-0.77,0.0,-0.96,-3.634321790708068,1.0,0.0,0.0,1.0,1.0,1.23,0.06,-2.82
6.5,256.0,-0.77,0.0,-0.96,-3.6480889478478,1.0,0.0,0.0,1.0,1.0,1.23,0.0,-2.82
7.0,256.0,-0.77,0.0,-0.96,-3.6418197251746363,1.0,0.0,0.0,1.0,1.0,1.23,0.0,-2.82
7.5,256.0,-0.77,0.0,-0.97,-3.6466036726543525,1.0,0.0,0.0,1.0,1.0,1.24,0.02,-1.57
8.0,256.0,-0.79,0.0,-0.98,-3.64291753727414,1.0,0.0,0.0,1.0,1.0,1.26,0.04,-2.68
8.5,256.0,-0.78,0.0,-0.97,-3.6262688415393667,1.0,0.0,0.0,1.0,1.0,1.24,0.03,0.79
9.0,256.0,-0.78,0.0,-0.97,-3.625736516117508,1.0,0.0,0.0,1.0,1.0,1.24,0.0,0.79
9.5,256.0,-0.75,0.0,-0.98,-3.6244589351050482,1.0,0.0,0.0,1.0,1.0,1.23,0.06,-0.32
10.0,256.0,-0.79,0.0,-0.99,-3.6208356315779078,1.0,0.0,0.0,1.0,1.0,1.27,0.08,-2.9
10.5,256.0,-0.78,0.0,-1.02,-3.231901225075736,1.0,0.0,0.0,0.0,1.0,1.28,0.06,-1.25
11.0,256.0,-0.76,0.0,-1.0,-3.2463595325992567,1.0,0.0,0.0,1.0,1.0,1.26,0.06,0.79
11.5,256.0,-0.76,0.0,-0.97,-3.686837002571326,1.0,0.0,0.0,1.0,1.0,1.23,0.06,1.57
12.0,256.0,-0.76,0.0,-0.97,-3.69357920947178,1.0,0.0,0.0,1.0,1.0,1.23,0.0,1.57
