Time,ID,Positionx,Positionz,Positiony,Yaw,Up,Right,Down,Left
0.0,53,-0.41,0.0,-1.06,63.17497,1,1,0,0
0.5199999999995271,53,-0.41,0.0,-0.95,44.24104,1,0,0,0
1.0209999999997308,53,-0.41,0.0,-0.95,40.68031,1,0,0,0
1.532999999999447,53,-0.41,0.0,-0.95,38.93635,1,0,0,0
2.0339999999996508,53,-0.41,0.0,-0.95,39.41413,1,0,0,0
2.5460000000002765,53,-0.41,0.0,-1.05,55.99218,1,1,0,0
3.0460000000002765,53,-0.39,0.0,-1.01,61.11612,1,1,0,0
3.5590000000001965,53,0.04,0.0,-1.04,73.74009,0,0,1,1
4.070999999999913,53,0.29,0.02,-0.93,61.94096,0,0,1,1
4.570999999999913,53,0.44,0.0,-0.72,39.26224,0,0,0,1
5.082999999999629,53,0.68,0.0,-0.43,35.12011,0,1,1,0
5.582999999999629,53,0.89,0.0,-0.09,36.3529,0,0,1,0
6.083999999999833,53,1.19,0.0,0.28,39.98401,0,0,0,0
6.583999999999833,53,1.29,0.0,0.41,40.20772,0,0,0,0
7.095999999999549,53,1.32,0.0,0.43,29.54719,0,0,0,0
7.608999999999469,53,-0.86,0.0,-9.74,30.44529,1,0,0,0
8.121000000000095,53,-0.84,0.0,-9.73,26.0005,1,0,0,0
8.621000000000095,53,-0.83,0.0,-9.6,7.161221,0,0,0,0
9.134000000000015,53,-0.76,0.0,-9.43,10.07418,0,0,0,0
9.64599999999973,53,-0.56,0.0,-8.85,9.242808,0,0,0,0
10.14599999999973,53,-0.25,0.0,-8.14,358.7672,1,0,0,0
10.64599999999973,53,0.0,0.0,-7.85,16.23919,0,1,0,0
11.15899999999965,53,0.19,0.0,-7.96,0.4059622,0,1,0,0
11.65899999999965,53,0.28,0.0,-7.42,3.644057,1,0,1,0
12.171000000000276,53,0.42,0.0,-6.54,3.472798,1,0,0,0
12.671000000000276,53,0.48,0.0,-5.8,3.737532,0,1,1,0
13.171000000000276,53,0.55,0.0,-5.37,2.123578,1,0,1,0
13.682999999999993,53,0.71,0.0,-4.89,358.8023,1,0,1,0
14.197000000000116,53,0.77,0.0,-4.12,357.5319,0,0,0,1
14.708999999999833,53,0.75,0.0,-3.4,357.2253,0,0,0,1
15.221999999999753,53,0.71,0.0,-2.74,356.5607,0,0,0,0
15.733999999999469,53,0.56,0.0,-2.21,359.4644,1,0,0,0
16.23700000000008,53,0.57,0.0,-1.8,0.9843137,0,0,0,1
16.74499999999989,53,0.53,0.0,-1.22,0.3243056,0,0,0,1
17.25799999999981,53,0.54,0.0,-0.76,1.979416,1,0,1,1
17.759000000000015,53,0.54,0.0,-0.33,1.869257,0,0,1,1
18.27099999999973,53,0.54,0.0,0.15,2.345857,0,0,1,0
18.77099999999973,53,0.59,0.0,0.56,2.070224,0,0,1,0
19.27099999999973,53,0.75,0.0,0.87,2.432222,0,0,1,0
19.77099999999973,53,0.95,0.03,1.63,2.969147,0,0,0,0
20.284999999999854,53,2.2,0.0,-9.75,3.758196,0,0,0,1
20.796000000000276,53,2.18,0.0,-9.63,2.573804,0,0,0,0
21.307999999999993,53,2.3,0.0,-9.41,354.8732,0,0,0,0
21.809000000000196,53,2.34,0.0,-9.15,350.8274,0,0,0,0
22.30999999999949,53,2.35,0.0,-9.21,347.834,0,0,0,0
22.822000000000116,53,2.06,0.0,-8.55,346.7614,0,0,0,0
23.333999999999833,53,2.01,0.0,-7.62,350.3333,0,0,0,0
23.846999999999753,53,2.24,0.0,-7.77,346.2674,0,0,0,0
24.35899999999947,53,2.22,0.0,-6.86,331.951,0,0,0,0
