Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°)
668.0,42.34089531516656,76.29470339883119,668.0,38.723641878925264,80.85578646371141,,,,668.0,38.31933761690743,86.28307024762034,668.0,41.954969592392445,82.51705109421164,668.0,47.074267072137445,78.51672875648364
669.0,41.66800938290544,77.00444238632917,669.0,37.817118691978976,81.41381232393906,,,,669.0,37.51181283360347,86.56548559200019,669.0,40.90548491163645,84.10775797022507,669.0,45.17674127337523,79.98256017500535
670.0,41.00121469050646,77.34462550422177,670.0,36.949076892458834,81.54736776137725,,,,670.0,36.97275234933477,86.7968773781322,670.0,39.93804200994782,85.49650621321052,670.0,43.31038799602538,81.46738853817806
671.0,40.13317249098327,77.47818069951609,671.0,35.763223959482275,81.86051330063492,,,,671.0,36.433082889183424,87.06522478209808,671.0,39.17671971314121,86.79623777419329,671.0,42.24211908807047,83.24261382734403
672.0,39.266652993508615,77.51934698177502,672.0,34.81070438481402,82.34385004686192,,,,672.0,35.95423463743646,87.4639543555677,672.0,38.18419630150311,87.79643366159871,672.0,40.96204233390745,84.4968292908743
673.0,38.687686418532394,77.30649340059608,673.0,33.8702685770113,83.04917980916798,,,,673.0,35.31739458395168,87.89704559044912,673.0,37.30123198940419,88.8354010200128,673.0,40.13837582245469,85.75856758188456
674.0,38.50542870245408,77.85797385219485,674.0,32.99278613785282,83.75554722454399,,,,674.0,34.881802108255215,88.53676474979147,674.0,36.68977744667791,89.63856686558574,674.0,39.15763130376581,86.99923412734643
675.0,37.798630194040015,78.71501664910465,675.0,32.2406008169055,84.50094543071464,,,,675.0,34.67954279645346,89.34667499409989,675.0,36.35856639361009,90.63117985706776,675.0,38.28857771132607,88.14932757848874
676.0,36.90327685070224,79.5504689058289,676.0,31.599192735855468,85.21120382100344,,,,676.0,34.25786143715959,90.0975203346461,676.0,35.8258034135215,91.43564275000244,676.0,37.92040790710598,89.47402203828096
677.0,36.249077082728036,81.03679441753775,677.0,30.98773846658878,86.01436999626458,,,,677.0,33.75657510734163,90.9025021167472,677.0,35.538761793868616,92.61381189990789,677.0,37.067092950223014,90.62437498336658
678.0,35.37941428006161,82.22384371096268,678.0,30.243982921005227,87.20349479699507,,,,678.0,33.16390470787883,91.521149600856,678.0,35.251720134401694,93.79198106518015,678.0,36.198039881768636,91.7744685956277
679.0,34.73882126738317,83.83977326052263,679.0,29.47301446448546,88.13341174507514,,,,679.0,32.38267985009588,92.1182066295296,679.0,35.17110333114397,94.86265561543405,679.0,35.20399457786698,92.86705372203141
680.0,33.530225845752284,84.57764894235879,680.0,28.78286921104882,88.93528111977503,,,,680.0,31.647147066891193,92.80843086726964,680.0,34.592245772480965,96.5535339359194,680.0,34.25929599953815,93.83107254933566
681.0,32.62096240092069,85.30197538388893,681.0,28.267063216655515,89.66609257599339,,,,681.0,30.831095859524794,93.6082249674946,681.0,34.839696025126614,97.77747815288603,681.0,33.075478343409486,94.97597852023318
682.0,31.866340974112973,86.19519597059116,682.0,27.847514006542042,90.28759360406548,,,,682.0,30.12399448128417,94.48374603083357,682.0,35.108975375420414,98.632125871256,682.0,32.293035470182076,95.64694672916085
683.0,30.988249761401676,86.93851912813261,683.0,27.50970158376731,90.72561361361295,,,,683.0,29.30702991038561,95.33897362928838,683.0,35.81983934994787,99.43860331596807,683.0,32.46372002956923,95.79762239940464
684.0,30.018165359273553,87.53246367536485,684.0,27.207020184840076,90.94241886399686,,,,684.0,28.61718965473119,96.12236520228907,684.0,36.08911856764462,100.29325106739998,684.0,32.51032571645919,95.83535616053268
685.0,29.355842180899344,88.55658532865345,685.0,26.749599396716803,91.951434857212,,,,685.0,28.05386469210498,96.87087630387396,685.0,36.14171687187627,100.92253371141851,685.0,32.432852535741404,95.76014802744612
686.0,29.32396339578554,89.5356490672566,686.0,26.514341627364047,92.85321544203907,,,,686.0,28.037724283640273,97.85019944887608,686.0,36.00606526655611,101.51174798235297,686.0,32.74304960784502,96.04250279767439
